Transaction_ID,itemDescription
1,Bread
1,Rice
2,Flour
2,Sugar
2,Butter
3,Eggs
3,Biscuits
3,Shampoo
3,Milk
3,Bread
3,Beer
4,Flour
4,Beer
4,Bread
5,Coffee
5,Diapers
5,Shampoo
5,Flour
5,Toothpaste
5,Beans
6,Bread
6,Tea
6,Shampoo
6,Cooking Oil
7,Sugar
7,Coffee
7,Cooking Oil
7,Butter
8,Soap
8,Butter
9,Salt
9,Rice
9,Milk
9,Toothpaste
10,Butter
10,Soap
10,Eggs
10,Beans
10,Salt
10,Beer
11,Eggs
11,Milk
11,Flour
12,Eggs
12,Flour
12,Butter
12,Soap
13,Toothpaste
13,Salt
13,Tea
13,Biscuits
14,Coffee
14,Rice
14,Eggs
14,Tea
15,Flour
15,Tea
15,Toothpaste
15,Soap
15,Rice
15,Diapers
16,Flour
16,Cooking Oil
16,Milk
16,Cereal
16,Diapers
16,Soap
17,Soap
17,Rice
17,Eggs
17,Coffee
18,Cooking Oil
18,Coffee
18,Soda
18,Soap
18,Toothpaste
18,Eggs
19,Sugar
19,Flour
19,Diapers
19,Rice
20,Shampoo
20,Biscuits
20,Soap
20,Salt
20,Flour
20,Eggs
21,Soda
21,Eggs
21,Milk
21,Butter
21,Sugar
21,Cooking Oil
22,Shampoo
22,Eggs
22,Soap
23,Cereal
23,Toothpaste
23,Beer
23,Rice
23,Bread
24,Diapers
24,Rice
25,Butter
25,Beans
25,Shampoo
25,Tea
26,Bread
26,Rice
26,Beer
26,Tea
26,Butter
27,Beer
27,Coffee
27,Sugar
27,Salt
28,Diapers
28,Beer
28,Bread
29,Cooking Oil
29,Soda
29,Bread
29,Butter
29,Salt
29,Toothpaste
30,Flour
30,Milk
30,Cereal
30,Eggs
31,Soda
31,Eggs
32,Sugar
32,Cereal
32,Soda
32,Tea
32,Rice
32,Diapers
33,Shampoo
33,Coffee
33,Diapers
33,Biscuits
33,Beans
33,Beer
34,Toothpaste
34,Beer
34,Cereal
34,Butter
35,Flour
35,Eggs
35,Cooking Oil
36,Biscuits
36,Diapers
37,Biscuits
37,Flour
37,Bread
38,Milk
38,Flour
39,Milk
39,Cooking Oil
40,Beer
40,Flour
41,Soda
41,Coffee
41,Diapers
41,Sugar
42,Biscuits
42,Soda
42,Flour
42,Cereal
42,Shampoo
42,Butter
43,Butter
43,Shampoo
44,Shampoo
44,Cereal
44,Toothpaste
44,Milk
45,Milk
45,Soap
46,Butter
46,Flour
46,Coffee
46,Diapers
47,Toothpaste
47,Sugar
47,Shampoo
47,Tea
47,Rice
47,Flour
48,Eggs
48,Toothpaste
48,Diapers
49,Milk
49,Diapers
50,Eggs
50,Flour
51,Shampoo
51,Soda
51,Biscuits
52,Soap
52,Milk
52,Tea
53,Bread
53,Soap
53,Rice
53,Toothpaste
53,Beans
54,Diapers
54,Soda
54,Sugar
54,Coffee
54,Beans
55,Milk
55,Biscuits
55,Diapers
56,Cooking Oil
56,Milk
57,Biscuits
57,Soda
58,Beer
58,Tea
58,Milk
58,Cereal
58,Eggs
58,Shampoo
59,Eggs
59,Cereal
59,Flour
60,Butter
60,Biscuits
60,Flour
60,Milk
60,Eggs
61,Biscuits
61,Cereal
61,Beer
61,Cooking Oil
61,Rice
62,Cooking Oil
62,Flour
62,Rice
63,Sugar
63,Beans
63,Toothpaste
63,Cooking Oil
63,Eggs
64,Toothpaste
64,Biscuits
65,Eggs
65,Diapers
66,Beer
66,Rice
66,Sugar
67,Eggs
67,Flour
67,Salt
67,Beans
68,Toothpaste
68,Diapers
68,Beans
69,Beer
69,Bread
69,Diapers
69,Beans
69,Butter
69,Toothpaste
70,Rice
70,Butter
70,Biscuits
71,Sugar
71,Rice
71,Beans
71,Coffee
71,Cooking Oil
71,Butter
72,Beer
72,Soda
72,Rice
72,Milk
73,Shampoo
73,Rice
74,Bread
74,Cooking Oil
75,Rice
75,Tea
75,Toothpaste
76,Shampoo
76,Diapers
76,Bread
76,Butter
76,Eggs
76,Toothpaste
77,Diapers
77,Milk
77,Salt
78,Diapers
78,Sugar
78,Shampoo
78,Biscuits
78,Milk
78,Beer
79,Milk
79,Salt
79,Coffee
79,Flour
80,Salt
80,Diapers
81,Cereal
81,Sugar
81,Flour
81,Tea
81,Beer
82,Bread
82,Tea
82,Cooking Oil
82,Shampoo
82,Flour
83,Tea
83,Butter
83,Soap
83,Milk
84,Flour
84,Coffee
84,Toothpaste
84,Salt
84,Beans
85,Flour
85,Bread
85,Coffee
86,Cooking Oil
86,Rice
86,Eggs
86,Biscuits
86,Salt
87,Soap
87,Diapers
87,Cooking Oil
87,Bread
87,Butter
87,Toothpaste
88,Tea
88,Biscuits
88,Rice
88,Milk
89,Cereal
89,Shampoo
90,Cooking Oil
90,Shampoo
90,Beer
90,Butter
91,Biscuits
91,Coffee
91,Rice
